"waldStat" "df" "pvalue" "waldStat_1" "df_1" "pvalue_1" "meanLogFC"
"CDKN2D" NA NA NA NA NA NA 0.554277564560043
"GPBP1" NA NA NA NA NA NA 0.18012663609723
"JPT1" NA NA NA NA NA NA 0.618288185962986
"ARHGAP29" 168.466956029142 6 0 168.466956029142 6 0 0.405476999530311
"DNAJB6" NA NA NA NA NA NA 0.787011030624831
"NUCB2" NA NA NA NA NA NA 0.464553697645639
"UBALD2" NA NA NA NA NA NA 0.133063216254234
"PIM1" NA NA NA NA NA NA 1.40234777534632
"GPSM2" 403.021218139695 6 0 403.021218139695 6 0 0.766948422274924
"CYB5A" 815.905456507532 6 0 815.905456507532 6 0 1.17196184043305
"PYCARD" 182.379154492468 6 0 182.379154492468 6 0 0.664157554949807
"TSC22D3" NA NA NA NA NA NA 0.617561360140874
